,start_date,ward,num_of_calls
0,2023-03-15,1,1
1,2023-03-15,2,5
2,2023-03-15,4,1
3,2023-03-15,5,7
4,2023-03-15,6,3
5,2023-03-15,7,6
6,2023-03-15,8,4
7,2023-03-16,1,2
8,2023-03-16,3,1
9,2023-03-16,4,3
10,2023-03-16,5,4
11,2023-03-16,6,5
12,2023-03-16,7,6
13,2023-03-16,8,8
14,2023-03-17,4,2
15,2023-03-17,5,2
16,2023-03-17,6,3
17,2023-03-17,7,4
18,2023-03-17,8,2
19,2023-03-18,1,1
20,2023-03-18,2,1
21,2023-03-18,3,1
22,2023-03-18,4,1
23,2023-03-18,5,4
24,2023-03-18,6,2
25,2023-03-18,7,3
26,2023-03-19,1,1
27,2023-03-19,2,2
28,2023-03-19,5,1
29,2023-03-19,7,1
30,2023-03-19,8,4
31,2023-03-20,1,1
32,2023-03-20,2,4
33,2023-03-20,3,3
34,2023-03-20,4,3
35,2023-03-20,5,2
36,2023-03-20,6,2
37,2023-03-20,7,8
38,2023-03-20,8,4
39,2023-03-21,1,3
40,2023-03-21,2,1
41,2023-03-21,4,2
42,2023-03-21,5,7
43,2023-03-21,6,5
44,2023-03-21,7,7
45,2023-03-21,8,6
46,2023-03-22,1,2
47,2023-03-22,2,2
48,2023-03-22,4,5
49,2023-03-22,5,3
50,2023-03-22,6,6
51,2023-03-22,7,9
52,2023-03-22,8,10
53,2023-03-23,2,2
54,2023-03-23,4,6
55,2023-03-23,5,3
56,2023-03-23,6,3
57,2023-03-23,7,9
58,2023-03-23,8,6
59,2023-03-24,1,1
60,2023-03-24,3,2
61,2023-03-24,4,3
62,2023-03-24,6,1
63,2023-03-24,7,8
64,2023-03-24,8,3
65,2023-03-25,4,2
66,2023-03-25,7,1
67,2023-03-26,3,1
68,2023-03-26,4,1
69,2023-03-26,5,4
70,2023-03-26,7,5
71,2023-03-26,8,3
72,2023-03-27,1,1
73,2023-03-27,2,2
74,2023-03-27,3,1
75,2023-03-27,4,3
76,2023-03-27,5,5
77,2023-03-27,6,4
78,2023-03-27,7,7
79,2023-03-27,8,8
80,2023-03-28,1,1
81,2023-03-28,2,1
82,2023-03-28,4,9
83,2023-03-28,5,5
84,2023-03-28,6,3
85,2023-03-28,7,5
86,2023-03-28,8,2
87,2023-03-29,1,1
88,2023-03-29,2,3
89,2023-03-29,3,1
90,2023-03-29,4,6
91,2023-03-29,5,4
92,2023-03-29,7,7
93,2023-03-29,8,1
94,2023-03-30,2,1
95,2023-03-30,3,1
96,2023-03-30,4,1
97,2023-03-30,5,3
98,2023-03-30,6,2
99,2023-03-30,7,9
100,2023-03-30,8,2
101,2023-03-31,1,2
102,2023-03-31,4,1
103,2023-03-31,5,6
104,2023-03-31,6,2
105,2023-03-31,7,4
106,2023-03-31,8,1
107,2023-04-01,1,3
108,2023-04-01,3,2
109,2023-04-01,4,1
110,2023-04-01,5,2
111,2023-04-01,8,2
112,2023-04-02,3,1
113,2023-04-02,4,2
114,2023-04-02,5,1
115,2023-04-02,6,1
116,2023-04-02,7,2
117,2023-04-02,8,1
118,2023-04-03,1,1
119,2023-04-03,2,1
120,2023-04-03,3,3
121,2023-04-03,4,4
122,2023-04-03,5,2
123,2023-04-03,6,3
124,2023-04-03,7,2
125,2023-04-03,8,1
126,2023-04-04,2,2
127,2023-04-04,3,1
128,2023-04-04,4,2
129,2023-04-04,5,4
130,2023-04-04,6,1
131,2023-04-04,7,2
132,2023-04-04,8,7
133,2023-04-05,1,1
134,2023-04-05,2,2
135,2023-04-05,4,3
136,2023-04-05,5,1
137,2023-04-05,6,2
138,2023-04-05,7,2
139,2023-04-05,8,2
140,2023-04-06,1,2
141,2023-04-06,2,1
142,2023-04-06,3,2
143,2023-04-06,4,3
144,2023-04-06,5,2
145,2023-04-06,6,2
146,2023-04-06,7,6
147,2023-04-06,8,9
148,2023-04-07,1,2
149,2023-04-07,2,2
150,2023-04-07,4,3
151,2023-04-07,5,7
152,2023-04-07,6,1
153,2023-04-07,7,2
154,2023-04-07,8,2
155,2023-04-08,1,2
156,2023-04-08,3,2
157,2023-04-08,5,2
158,2023-04-08,6,5
159,2023-04-08,7,3
160,2023-04-09,1,1
161,2023-04-09,5,3
162,2023-04-09,6,1
163,2023-04-09,7,2
164,2023-04-10,1,2
165,2023-04-10,4,6
166,2023-04-10,5,1
167,2023-04-10,6,2
168,2023-04-10,7,4
169,2023-04-10,8,6
170,2023-04-11,1,3
171,2023-04-11,4,1
172,2023-04-11,5,5
173,2023-04-11,6,1
174,2023-04-11,7,1
175,2023-04-11,8,8
176,2023-04-12,1,2
177,2023-04-12,4,3
178,2023-04-12,5,3
179,2023-04-12,6,5
180,2023-04-12,7,4
181,2023-04-12,8,3
182,2023-04-13,1,2
183,2023-04-13,4,1
184,2023-04-13,5,1
185,2023-04-13,6,3
186,2023-04-14,6,1
